时间,代码位ID,代码位,APP,展现,点击,收入,点击收入,展现收入,eCPM,CPC,填充率(%),点击率(%)
20170827,4617394,天天新闻_Android_相关新闻_40003_3小图,天天新闻,2290,35,23.26,23.26,0,10.16,0.66,98.9,1.5
20170827,4617419,天天新闻_Android_全部feeds_40001_3小图,天天新闻,75657,478,253.7,253.69,0,3.35,0.53,98.3,0.6
20170827,4617441,天天新闻_Android_Splash_50046_开屏,天天新闻,27784,2362,359.71,359.68,0.04,12.95,0.15,97.2,8.5
20170827,4659364,天天新闻_Android_新闻详情页底部悬浮_40007_600-300_1小图,天天新闻,70589,272,89.62,89.6,0.01,1.27,0.33,96.9,0.4
20170827,4672587,天天新闻_Android_全部feeds_41001_3小图_触宝包名,触宝电话,409301,1986,2900.64,2900.63,0.01,7.09,1.46,99.7,0.5
20170827,4691399,天天新闻_Android_新闻详情页底部悬浮_41007_600-300_1小图,触宝电话,349145,1159,933.55,932.88,0.67,2.67,0.81,99.8,0.3
20170827,4691408,天天新闻_Android_Splash_40000_开屏,触宝电话,112118,10153,1801.61,1801.06,0.55,16.07,0.18,99.6,9.1
20170827,4691508,天天新闻_Android_相关新闻_41003_3小图,触宝电话,12298,147,192.82,192.82,0,15.68,1.31,99.8,1.2
20170827,4691509,天天新闻_Android_新闻底部_41002_3小图,触宝电话,5978,99,123.1,123.1,0,20.59,1.24,99.8,1.7
,,,,,,,,,,,,
20170826,4617362,天天新闻_Android_新闻底部_40002_3小图,天天新闻,1382,34,21.55,21.55,0,15.59,0.63,99.3,2.5
20170826,4617394,天天新闻_Android_相关新闻_40003_3小图,天天新闻,2591,46,31.92,31.92,0,12.32,0.69,98.6,1.8
20170826,4617419,天天新闻_Android_全部feeds_40001_3小图,天天新闻,80345,516,298.34,298.34,0,3.71,0.58,98.2,0.6
20170826,4617441,天天新闻_Android_Splash_50046_开屏,天天新闻,28863,2415,383.93,383.88,0.05,13.3,0.16,96.4,8.4
20170826,4659364,天天新闻_Android_新闻详情页底部悬浮_40007_600-300_1小图,天天新闻,76551,335,98.78,98.77,0.02,1.29,0.29,96,0.4
20170826,4672587,天天新闻_Android_全部feeds_41001_3小图_触宝包名,触宝电话,439096,2340,3297.96,3297.95,0.01,7.51,1.41,99.6,0.5
20170826,4691399,天天新闻_Android_新闻详情页底部悬浮_41007_600-300_1小图,触宝电话,363036,1291,1109.42,1107.98,1.43,3.06,0.86,99.8,0.4
20170826,4691408,天天新闻_Android_Splash_40000_开屏,触宝电话,115945,10427,2052.41,2051.86,0.55,17.7,0.2,99.5,9
20170826,4691508,天天新闻_Android_相关新闻_41003_3小图,触宝电话,12510,148,190.54,190.54,0,15.23,1.29,99.7,1.2
20170826,4691509,天天新闻_Android_新闻底部_41002_3小图,触宝电话,6123,106,110.07,110.07,0,17.98,1.04,99.8,1.7
,,,,,,,,,,,,
20170825,4617362,天天新闻_Android_新闻底部_40002_3小图,天天新闻,1273,21,26,26,0,20.42,1.24,99.5,1.6
20170825,4617394,天天新闻_Android_相关新闻_40003_3小图,天天新闻,2441,52,34.72,34.72,0,14.22,0.67,98.6,2.1
20170825,4617419,天天新闻_Android_全部feeds_40001_3小图,天天新闻,64068,415,257.15,257.14,0,4.01,0.62,98,0.6
20170825,4617441,天天新闻_Android_Splash_50046_开屏,天天新闻,23399,1741,322.81,322.79,0.02,13.8,0.19,95.9,7.4
20170825,4659364,天天新闻_Android_新闻详情页底部悬浮_40007_600-300_1小图,天天新闻,73902,308,106.09,106.05,0.04,1.44,0.34,97.1,0.4
20170825,4672587,天天新闻_Android_全部feeds_41001_3小图_触宝包名,触宝电话,419627,2640,3634.67,3634.65,0.03,8.66,1.38,99.7,0.6
20170825,4691353,天天新闻_Android_新闻详情页顶部悬浮_41006_4:1_1小图,触宝电话,1,0,0,0,0,0,--,100,0
20170825,4691399,天天新闻_Android_新闻详情页底部悬浮_41007_600-300_1小图,触宝电话,347192,1185,987.54,986.74,0.8,2.84,0.83,99.8,0.3
20170825,4691408,天天新闻_Android_Splash_40000_开屏,触宝电话,106277,11105,2632.23,2631.97,0.26,24.77,0.24,99.2,10.4
20170825,4691508,天天新闻_Android_相关新闻_41003_3小图,触宝电话,11807,162,212.91,212.91,0,18.03,1.31,99.8,1.4
20170825,4691509,天天新闻_Android_新闻底部_41002_3小图,触宝电话,5634,89,99.25,99.25,0,17.62,1.12,99.8,1.6
,,,,,,,,,,,,
20170824,4617362,天天新闻_Android_新闻底部_40002_3小图,天天新闻,1222,30,19.33,19.33,0,15.82,0.64,99.6,2.5
20170824,4617394,天天新闻_Android_相关新闻_40003_3小图,天天新闻,2174,46,23.46,23.46,0,10.79,0.51,99,2.1
20170824,4617419,天天新闻_Android_全部feeds_40001_3小图,天天新闻,15886,143,72.83,72.83,0,4.58,0.51,99.2,0.9
20170824,4617441,天天新闻_Android_Splash_50046_开屏,天天新闻,23679,2121,410.66,410.66,0.01,17.34,0.19,95.9,9
20170824,4659364,天天新闻_Android_新闻详情页底部悬浮_40007_600-300_1小图,天天新闻,56566,297,90.2,90.18,0.02,1.59,0.3,96.6,0.5
20170824,4672587,天天新闻_Android_全部feeds_41001_3小图_触宝包名,触宝电话,238938,1615,1921.51,1921.51,0,8.04,1.19,99.8,0.7
20170824,4691399,天天新闻_Android_新闻详情页底部悬浮_41007_600-300_1小图,触宝电话,270549,1122,755.87,754.86,1.01,2.79,0.67,99.7,0.4
20170824,4691408,天天新闻_Android_Splash_40000_开屏,触宝电话,95842,13343,2986.19,2986.11,0.09,31.16,0.22,99.1,13.9
20170824,4691508,天天新闻_Android_相关新闻_41003_3小图,触宝电话,11318,195,212.91,212.91,0,18.81,1.09,99.8,1.7
20170824,4691509,天天新闻_Android_新闻底部_41002_3小图,触宝电话,5526,91,114.83,114.83,0,20.78,1.26,99.9,1.6
,,,,,,,,,,,,
20170823,4617362,天天新闻_Android_新闻底部_40002_3小图,天天新闻,1177,21,24.08,24.08,0,20.46,1.15,99.6,1.8
20170823,4617394,天天新闻_Android_相关新闻_40003_3小图,天天新闻,2262,38,30.87,30.87,0,13.65,0.81,99,1.7
20170823,4617419,天天新闻_Android_全部feeds_40001_3小图,天天新闻,2672,41,36.55,36.55,0,13.68,0.89,99.7,1.5
20170823,4617441,天天新闻_Android_Splash_50046_开屏,天天新闻,26809,2456,529.68,529.62,0.05,19.76,0.22,96.4,9.2
20170823,4659364,天天新闻_Android_新闻详情页底部悬浮_40007_600-300_1小图,天天新闻,59035,288,109.39,109.37,0.02,1.85,0.38,96.8,0.5
20170823,4672587,天天新闻_Android_全部feeds_41001_3小图_触宝包名,触宝电话,35870,428,485.16,485.16,0.01,13.53,1.13,99.9,1.2
20170823,4691399,天天新闻_Android_新闻详情页底部悬浮_41007_600-300_1小图,触宝电话,57265,282,124.64,124.64,0.01,2.18,0.44,99.8,0.5
20170823,4691408,天天新闻_Android_Splash_40000_开屏,触宝电话,13651,2172,443.64,443.58,0.06,32.5,0.2,98.3,15.9
20170823,4691508,天天新闻_Android_相关新闻_41003_3小图,触宝电话,2559,50,35.01,35.01,0,13.68,0.7,99.8,2
20170823,4691509,天天新闻_Android_新闻底部_41002_3小图,触宝电话,1138,23,29.47,29.47,0,25.89,1.28,99.9,2
